horse_age,horse_weight,handicap_weight,total_weight,start_position,race_distance,career_total_races,career_avg_finish,career_avg_time,last_race_days_ago,last_1_avg_finish,last_1_best_finish,last_1_worst_finish,last_1_std_finish,last_1_avg_time,last_1_std_time,last_1_win_rate,last_1_top3_rate,last_3_avg_finish,last_3_best_finish,last_3_worst_finish,last_3_std_finish,last_3_avg_time,last_3_std_time,last_3_win_rate,last_3_top3_rate,last_5_avg_finish,last_5_best_finish,last_5_worst_finish,last_5_std_finish,last_5_avg_time,last_5_std_time,last_5_win_rate,last_5_top3_rate,last_10_avg_finish,last_10_best_finish,last_10_worst_finish,last_10_std_finish,last_10_avg_time,last_10_std_time,last_10_win_rate,last_10_top3_rate,performance_trend,track_type_races,track_type_avg_time,distance_races,distance_avg_finish,distance_avg_time,city_races,city_avg_finish,total_track_experience,distance_variety,form_length,form_avg,form_best,form_worst,form_consistency,recent_form_trend,ganyan,agf,kgs,ganyan_log,is_favorite,jockey_id,trainer_id,owner_id,father_id,mother_id,races_last_30_days,races_last_60_days,races_last_90_days,race_id,race_date,race_city,race_track_type,horse_id,horse_name
3,58,27,85,9,1400,18,5.78,111.27,1618,13.0,13,13,0,80.22,0,0.0,0.0,9.333333333333334,6,13,2.8674417556808756,110.66666666666667,22.398728138495326,0.0,0.0,9.0,6,13,2.449489742783178,112.98599999999999,18.00542096147713,0.0,0.0,7.3,3,13,2.6851443164195103,113.272,17.570524067312277,0.0,0.1,-1.0,18,111.27,2,5.0,97.48,12,4.5,18,7,6,4.166666666666667,2,7,2.1147629234082532,5,2.6,0.0,30,1.2809338454620642,1,918,2499,6419,20219,14432,0,0,0,182206,2021-01-04,Urfa,Kum,85330,SHABBY
3,58,0,58,7,1400,6,6.0,100.36,1737,15.0,15,15,0,81.82,0,0.0,0.0,8.333333333333334,5,15,4.714045207910316,96.55,22.253342820049905,0.0,0.0,6.6,1,15,4.6303347611160905,100.744,19.630662342366342,0.2,0.2,6.0,1,15,4.43471156521669,100.36500000000001,17.940288691471313,0.16666666666666666,0.3333333333333333,-4.666666666666668,6,100.36,2,2.0,96.53,6,6.0,6,4,0,999.0,999,999,0.0,0,29.55,0.0,0,3.4193646856176043,0,426,2716,592,22305,15894,0,0,0,182206,2021-01-04,Urfa,Kum,80142,SOUPIRANT
3,54,0,54,6,1400,40,4.3,83.37,1128,5.0,5,5,0,80.16,0,0.0,0.0,6.666666666666667,5,10,2.357022603955158,85.98333333333333,4.5690285862776365,0.0,0.0,5.8,2,10,2.6381811916545836,83.298,4.9831813131773535,0.0,0.2,5.2,1,10,2.8913664589601926,81.567,4.23589671734333,0.1,0.3,-2.333333333333334,39,83.65,6,4.83,96.83,20,4.8,40,4,0,999.0,999,999,0.0,0,37.65,0.0,0,3.654546775033431,0,2872,2722,8901,15983,22364,0,0,0,182206,2021-01-04,Urfa,Kum,80406,TOMB RAIDER
3,55,13,68,10,1400,16,5.88,122.69,1567,13.0,13,13,0,111.51,0,0.0,0.0,12.0,10,13,1.4142135623730951,122.14333333333333,14.819141525593022,0.0,0.0,10.4,7,13,2.33238075793812,126.91,12.881544938399275,0.0,0.0,7.5,1,13,4.522167621838006,127.55699999999999,10.435011308091623,0.1,0.3,-6.0,16,122.69,2,3.0,97.3,9,3.67,16,6,5,5.4,0,7,2.727636339397171,1,34.05,0.0,20,3.5567756134805992,0,2254,2721,12227,24840,22872,0,0,0,182206,2021-01-04,Urfa,Kum,80602,WESTERLUND
4,61,55,116,3,1400,10,7.6,88.96,1700,12.0,12,12,0,78.67,0,0.0,0.0,6.0,1,12,4.546060565661952,88.35333333333334,15.239878243899753,0.3333333333333333,0.3333333333333333,7.4,1,14,4.841487374764082,86.96000000000001,12.557469490307355,0.2,0.2,7.6,1,14,4.004996878900157,88.958,13.706526766471514,0.1,0.2,3.666666666666666,10,88.96,2,5.5,93.58,7,8.29,10,5,6,2.3333333333333335,0,6,2.0548046676563256,1,3.95,19.0,12,1.599387576580599,1,540,1281,12861,28996,18777,0,0,0,182214,2021-01-04,Urfa,Kum,78933,AĞIR ADAM
4,61,30,91,4,1400,3,12.0,128.02,1793,17.0,17,17,0,149.03,0,0.0,0.0,12.0,9,17,3.559026084010437,128.02333333333334,21.56076116982474,0.0,0.0,12.0,9,17,3.559026084010437,128.02333333333334,21.56076116982474,0.0,0.0,12.0,9,17,3.559026084010437,128.02333333333334,21.56076116982474,0.0,0.0,0.0,3,128.02,1,10.0,98.38,3,12.0,3,3,6,3.8333333333333335,0,9,2.9107081994288304,0,26.85,3.0,6,3.326832966373293,0,1076,2493,351,11187,16329,0,0,0,182214,2021-01-04,Urfa,Kum,85111,CRISTOPHER
7,61,24,85,11,1400,3,14.0,124.12,1832,11.0,11,11,0,143.53,0,0.0,0.0,14.0,11,18,2.943920288775949,124.11500000000001,19.415,0.0,0.0,14.0,11,18,2.943920288775949,124.11500000000001,19.415,0.0,0.0,14.0,11,18,2.943920288775949,124.11500000000001,19.415,0.0,0.0,0.0,3,124.12,1,13.0,104.7,3,14.0,3,3,6,6.5,2,9,2.565800719723442,1,27.55,2.0,22,3.351656936102019,0,1093,2547,14157,264,15808,0,0,0,182214,2021-01-04,Urfa,Kum,61438,EL FUEGO
4,58,31,89,7,1400,15,7.0,123.84,1595,1.0,1,1,0,132.8,0,1.0,1.0,5.666666666666667,1,9,3.39934634239519,135.28,10.098356301893881,0.3333333333333333,0.3333333333333333,8.0,1,12,3.8987177379235853,136.96599999999998,8.604839568521884,0.2,0.2,6.2,1,12,3.789459064299283,127.97,16.055864349202754,0.2,0.4,4.666666666666667,15,123.84,3,7.0,93.72,7,6.14,15,6,6,5.0,1,8,2.160246899469287,-2,22.6,4.0,22,3.1612467120315646,0,2254,2565,15737,28092,7551,0,0,0,182214,2021-01-04,Urfa,Kum,78993,HIZLI HAN
7,61,50,111,16,1400,19,7.42,108.55,1167,8.0,8,8,0,147.58,0,0.0,0.0,7.666666666666667,4,11,2.8674417556808756,119.91000000000001,28.32524080509585,0.0,0.0,6.6,4,11,2.5768197453450252,111.73000000000002,27.24997541283295,0.0,0.0,7.4,3,12,3.411744421846396,104.36111111111113,24.326046143745895,0.0,0.1,-0.3333333333333339,19,108.55,2,8.5,97.58,12,7.42,19,8,6,7.0,6,9,1.1547005383792515,-2,5.9,10.0,8,1.9315214116032138,0,267,2565,13527,15569,18615,0,0,0,182214,2021-01-04,Urfa,Kum,63926,ÖZÜN
4,56,25,81,14,1400,1,14.0,104.79,1856,14.0,14,14,0,104.79,0,0.0,0.0,14.0,14,14,0.0,104.79,0.0,0.0,0.0,14.0,14,14,0.0,104.79,0.0,0.0,0.0,14.0,14,14,0.0,104.79,0.0,0.0,0.0,0.0,1,104.79,1,14.0,104.79,1,14.0,1,1,6,4.166666666666667,0,9,4.2196629670573875,7,60.25,1.0,40,4.114963849424837,0,2320,2366,1151,20249,17081,0,0,0,182214,2021-01-04,Urfa,Kum,76924,HARD WOLF
