At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
EAST WEST WARRIOR,,6.59,1900,Kum,60,60,Bursa,4,101475,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %21, on-grup %36, onde %7.",5/14 (36%) | 3/14 (21%) | 5/14 (36%) | 1/14 (7%),Sulu,,3.01,https://yenibeygir.com/at/101475/east-west-warrior,bulundu
,7. Koşu,,,,,,,,,,,,,,,,,
KOCAMUTLU,,6.83,1400,Kum,52,54,Bursa,5,102589,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %23, on-grup %73, onde %0.",1/22 (5%) | 5/22 (23%) | 16/22 (73%) | 0/22 (0%),,,0.49,https://yenibeygir.com/at/102589/kocamutlu,bulundu
ALSAKİB,,6.83,1400,Kum,50,57,Bursa,7,103213,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %32, on-grup %50, onde %9.",2/22 (9%) | 7/22 (32%) | 11/22 (50%) | 2/22 (9%),,,0.08,https://yenibeygir.com/at/103213/alsakib,bulundu
HASHEYBETLİ,,6.84,1400,Kum,58.5,56.5,Bursa,2,101715,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %33, on-grup %44, onde %11.",1/9 (11%) | 3/9 (33%) | 4/9 (44%) | 1/9 (11%),,,0.00,https://yenibeygir.com/at/101715/hasheybetli,bulundu
OĞLUM GÜROL,,6.87,1400,Kum,57,58,Kocaeli,3,103652,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %36, on-grup %50, onde %7.",1/14 (7%) | 5/14 (36%) | 7/14 (50%) | 1/14 (7%),,,0.40,https://yenibeygir.com/at/103652/oglum-gurol,bulundu
OĞUL ÇINAR,,6.90,1400,Kum,60.5,56.4,Antalya,1,101712,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %20, on-grup %47, onde %27.",1/15 (7%) | 3/15 (20%) | 7/15 (47%) | 4/15 (27%),,,0.33,https://yenibeygir.com/at/101712/ogul-cinar,bulundu
GÜLÜMSE BİRAZ,,7.10,1400,Sentetik,51,56,Antalya,6,101687,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %17, on-grup %57, onde %13.",3/23 (13%) | 4/23 (17%) | 13/23 (57%) | 3/23 (13%),,,3.56,https://yenibeygir.com/at/101687/gulumse-biraz,bulundu
KARA AYHAN,,7.34,1900,Kum,54,53,Adana,4,101527,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %42, on-grup %26, onde %11.",4/19 (21%) | 8/19 (42%) | 5/19 (26%) | 2/19 (11%),,X,7.11,https://yenibeygir.com/at/101527/kara-ayhan,bulundu
SULTAN FERMANI,,7.51,1900,Kum,50,52,Bursa,8,101617,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %17, on-grup %33, onde %17.",4/12 (33%) | 2/12 (17%) | 4/12 (33%) | 2/12 (17%),Nem,X,12.37,https://yenibeygir.com/at/101617/sultan-fermani,bulundu
,8. Koşu,,,,,,,,,,,,,,,,,
GÜNDÜZDÜŞÜ,,7.11,2100,Kum,56.5,57,Bursa,6,87729,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %71.",1/52 (2%) | 1/52 (2%) | 13/52 (25%) | 37/52 (71%),,,0.87,https://yenibeygir.com/at/87729/gunduzdusu,bulundu
TORUNCALAS,,7.13,2000,Kum,60.5,57,Antalya,1,95684,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %46, on-grup %20, onde %0.",14/41 (34%) | 19/41 (46%) | 8/41 (20%) | 0/41 (0%),,,1.30,https://yenibeygir.com/at/95684/toruncalas,bulundu
GÜNÇE KIZ,,7.17,2000,Kum,54.5,53.4,Antalya,4,97408,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %35, on-grup %51, onde %0.",6/43 (14%) | 15/43 (35%) | 22/43 (51%) | 0/43 (0%),,,1.39,https://yenibeygir.com/at/97408/gunce-kiz,bulundu
SULTAN NENE,,7.23,1400,Kum,54.5,60,İzmir,3,95428,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %32, on-grup %50, onde %8.",10/105 (10%) | 34/105 (32%) | 53/105 (50%) | 8/105 (8%),Nem,,2.54,https://yenibeygir.com/at/95428/sultan-nene,bulundu
BAYAN ALTIN,,7.29,1400,Sentetik,58.5,55,İstanbul,2,98899,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %30, on-grup %26, onde %0.",12/27 (44%) | 8/27 (30%) | 7/27 (26%) | 0/27 (0%),,,2.63,https://yenibeygir.com/at/98899/bayan-altin,bulundu
MÜZEYYEN ABLA,,7.30,1400,Kum,55,57,Bursa,8,98127,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %15, on-grup %48, onde %26.",3/27 (11%) | 4/27 (15%) | 13/27 (48%) | 7/27 (26%),Nem,,4.55,https://yenibeygir.com/at/98127/muzeyyen-abla,bulundu
BEDİZ DE FAUST,,7.39,1400,Kum,56.5,61.5,İzmir,5,89715,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %22, on-grup %64, onde %10.",2/67 (3%) | 15/67 (22%) | 43/67 (64%) | 7/67 (10%),Nem,,4.80,https://yenibeygir.com/at/89715/bediz-de-faust,bulundu
KURUÇAY,,7.39,2000,Kum,52.5,55.6,Kocaeli,7,98474,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %2.",12/53 (23%) | 20/53 (38%) | 20/53 (38%) | 1/53 (2%),,,3.69,https://yenibeygir.com/at/98474/kurucay,bulundu
,9. Koşu,,,,,,,,,,,,,,,,,
GENÇAY NALAN,,6.25,1400,Kum,56.5,53.1,Bursa,7,96358,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %3, on-grup %73, onde %20.",1/30 (3%) | 1/30 (3%) | 22/30 (73%) | 6/30 (20%),,,0.00,https://yenibeygir.com/at/96358/gencay-nalan,bulundu
