at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
2,ÇAĞLAR TAY,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %42, on-grup %27, onde %0.",18/59 (31%) | 25/59 (42%) | 16/59 (27%) | 0/59 (0%),18/59 (31%),25/59 (42%),16/59 (27%),0/59 (0%),Nem,,0.00,https://yenibeygir.com/at/94199/caglar-tay,94199
3,İTAATSİZ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %4, on-grup %30, onde %48.",4/23 (17%) | 1/23 (4%) | 7/23 (30%) | 11/23 (48%),4/23 (17%),1/23 (4%),7/23 (30%),11/23 (48%),,,2.39,https://yenibeygir.com/at/97989/itaatsiz,97989
4,KÖYCÜ BEY,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %48, on-grup %24, onde %0.",9/33 (27%) | 16/33 (48%) | 8/33 (24%) | 0/33 (0%),9/33 (27%),16/33 (48%),8/33 (24%),0/33 (0%),,,3.38,https://yenibeygir.com/at/99311/koycu-bey,99311
5,KUTADGU,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %49, arka-grup %24, on-grup %22, onde %5.",27/55 (49%) | 13/55 (24%) | 12/55 (22%) | 3/55 (5%),27/55 (49%),13/55 (24%),12/55 (22%),3/55 (5%),,,3.12,https://yenibeygir.com/at/94093/kutadgu,94093
6,TILISIM,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %48, on-grup %27, onde %0.",21/82 (26%) | 39/82 (48%) | 22/82 (27%) | 0/82 (0%),21/82 (26%),39/82 (48%),22/82 (27%),0/82 (0%),,,3.72,https://yenibeygir.com/at/93670/tilisim,93670
7,FERMAN YAZAR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %71, onde %12.",0/24 (0%) | 4/24 (17%) | 17/24 (71%) | 3/24 (12%),0/24 (0%),4/24 (17%),17/24 (71%),3/24 (12%),Nem,,3.62,https://yenibeygir.com/at/101610/ferman-yazar,101610
8,BÜYÜK MENDERES,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %38, on-grup %26, onde %0.",12/34 (35%) | 13/34 (38%) | 9/34 (26%) | 0/34 (0%),12/34 (35%),13/34 (38%),9/34 (26%),0/34 (0%),,X,8.00,https://yenibeygir.com/at/94059/buyuk-menderes,94059
9,EL FURAT,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %20, on-grup %66, onde %12.",1/41 (2%) | 8/41 (20%) | 27/41 (66%) | 5/41 (12%),1/41 (2%),8/41 (20%),27/41 (66%),5/41 (12%),,,2.48,https://yenibeygir.com/at/99204/el-furat,99204
10,GÜROBASI,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %50, on-grup %35, onde %1.",19/139 (14%) | 70/139 (50%) | 48/139 (35%) | 2/139 (1%),19/139 (14%),70/139 (50%),48/139 (35%),2/139 (1%),,,0.62,https://yenibeygir.com/at/88882/gurobasi,88882
11,STEPHENSON,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %23, on-grup %54, onde %23.",0/13 (0%) | 3/13 (23%) | 7/13 (54%) | 3/13 (23%),0/13 (0%),3/13 (23%),7/13 (54%),3/13 (23%),Nem,X,7.92,https://yenibeygir.com/at/99973/stephenson,99973
