at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
9,ATLANTIC BLACK,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %11, on-grup %47, onde %42.",0/19 (0%) | 2/19 (11%) | 9/19 (47%) | 8/19 (42%),0/19 (0%),2/19 (11%),9/19 (47%),8/19 (42%),https://yenibeygir.com/at/97776/atlantic-black,97776
10,DOĞANTÜRKBEYİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %18, on-grup %71, onde %7.",1/28 (4%) | 5/28 (18%) | 20/28 (71%) | 2/28 (7%),1/28 (4%),5/28 (18%),20/28 (71%),2/28 (7%),https://yenibeygir.com/at/99415/doganturkbeyi,99415
11,GALLOON,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %20, on-grup %56, onde %12.",3/25 (12%) | 5/25 (20%) | 14/25 (56%) | 3/25 (12%),3/25 (12%),5/25 (20%),14/25 (56%),3/25 (12%),https://yenibeygir.com/at/98670/galloon,98670
12,KEÇİKHAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %0, on-grup %47, onde %50.",1/32 (3%) | 0/32 (0%) | 15/32 (47%) | 16/32 (50%),1/32 (3%),0/32 (0%),15/32 (47%),16/32 (50%),https://yenibeygir.com/at/98553/kecikhan,98553
13,KING DALAZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %16, arka-grup %37, on-grup %47, onde %0.",3/19 (16%) | 7/19 (37%) | 9/19 (47%) | 0/19 (0%),3/19 (16%),7/19 (37%),9/19 (47%),0/19 (0%),https://yenibeygir.com/at/99347/king-dalaz,99347
14,KİKİ FERRO,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %20, on-grup %20, onde %60.",0/10 (0%) | 2/10 (20%) | 2/10 (20%) | 6/10 (60%),0/10 (0%),2/10 (20%),2/10 (20%),6/10 (60%),https://yenibeygir.com/at/101361/kiki-ferro,101361
15,SÖĞÜTLÜ AĞASI,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %24, on-grup %38, onde %5.",7/21 (33%) | 5/21 (24%) | 8/21 (38%) | 1/21 (5%),7/21 (33%),5/21 (24%),8/21 (38%),1/21 (5%),https://yenibeygir.com/at/99556/sogutlu-agasi,99556
1,BAŞ ALP,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %45, on-grup %38, onde %0.",13/77 (17%) | 35/77 (45%) | 29/77 (38%) | 0/77 (0%),13/77 (17%),35/77 (45%),29/77 (38%),0/77 (0%),https://yenibeygir.com/at/89591/bas-alp,89591
2,KILIÇBAĞI,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %46, arka-grup %40, on-grup %14, onde %0.",40/87 (46%) | 35/87 (40%) | 12/87 (14%) | 0/87 (0%),40/87 (46%),35/87 (40%),12/87 (14%),0/87 (0%),https://yenibeygir.com/at/92021/kilicbagi,92021
3,ZEKAİBEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %5, on-grup %72, onde %19.",2/57 (4%) | 3/57 (5%) | 41/57 (72%) | 11/57 (19%),2/57 (4%),3/57 (5%),41/57 (72%),11/57 (19%),https://yenibeygir.com/at/80647/zekaibey,80647
4,CABİROĞLU,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %58, on-grup %15, onde %0.",7/26 (27%) | 15/26 (58%) | 4/26 (15%) | 0/26 (0%),7/26 (27%),15/26 (58%),4/26 (15%),0/26 (0%),https://yenibeygir.com/at/97677/cabiroglu,97677
