at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
2,ALATTİN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %61, onde %18.",0/33 (0%) | 7/33 (21%) | 20/33 (61%) | 6/33 (18%),0/33 (0%),7/33 (21%),20/33 (61%),6/33 (18%),https://yenibeygir.com/at/97102/alattin,97102
3,BAŞPARMAK,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %48, arka-grup %40, on-grup %12, onde %0.",51/106 (48%) | 42/106 (40%) | 13/106 (12%) | 0/106 (0%),51/106 (48%),42/106 (40%),13/106 (12%),0/106 (0%),https://yenibeygir.com/at/78650/basparmak,78650
4,CANASİLİM,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %28, on-grup %36, onde %0.",9/25 (36%) | 7/25 (28%) | 9/25 (36%) | 0/25 (0%),9/25 (36%),7/25 (28%),9/25 (36%),0/25 (0%),https://yenibeygir.com/at/98008/canasilim,98008
5,EL FURAT,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %20, on-grup %65, onde %12.",1/40 (2%) | 8/40 (20%) | 26/40 (65%) | 5/40 (12%),1/40 (2%),8/40 (20%),26/40 (65%),5/40 (12%),https://yenibeygir.com/at/99204/el-furat,99204
6,KARACAHİSAR,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %55, onde %35.",2/40 (5%) | 2/40 (5%) | 22/40 (55%) | 14/40 (35%),2/40 (5%),2/40 (5%),22/40 (55%),14/40 (35%),https://yenibeygir.com/at/97033/karacahisar,97033
7,KARAKURT BEYİ,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %51, on-grup %24, onde %2.",9/41 (22%) | 21/41 (51%) | 10/41 (24%) | 1/41 (2%),9/41 (22%),21/41 (51%),10/41 (24%),1/41 (2%),https://yenibeygir.com/at/96094/karakurt-beyi,96094
8,KAŞMİR TAY,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %38, on-grup %19, onde %0.",14/32 (44%) | 12/32 (38%) | 6/32 (19%) | 0/32 (0%),14/32 (44%),12/32 (38%),6/32 (19%),0/32 (0%),https://yenibeygir.com/at/92984/kasmir-tay,92984
9,SARPER,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %54, on-grup %25, onde %0.",6/28 (21%) | 15/28 (54%) | 7/28 (25%) | 0/28 (0%),6/28 (21%),15/28 (54%),7/28 (25%),0/28 (0%),https://yenibeygir.com/at/98014/sarper,98014
10,YETİM İBRAHİM,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %47, on-grup %32, onde %0.",11/53 (21%) | 25/53 (47%) | 17/53 (32%) | 0/53 (0%),11/53 (21%),25/53 (47%),17/53 (32%),0/53 (0%),https://yenibeygir.com/at/97686/yetim-ibrahim,97686
11,GÜNDÜZDÜŞÜ,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %71.",1/51 (2%) | 1/51 (2%) | 13/51 (25%) | 36/51 (71%),1/51 (2%),1/51 (2%),13/51 (25%),36/51 (71%),https://yenibeygir.com/at/87729/gunduzdusu,87729
