at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
8,SILVEN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %50, on-grup %38, onde %0.",1/8 (12%) | 4/8 (50%) | 3/8 (38%) | 0/8 (0%),1/8 (12%),4/8 (50%),3/8 (38%),0/8 (0%),https://yenibeygir.com/at/103400/silven,103400
9,THON KHITCHIBA,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %8, on-grup %50, onde %0.",5/12 (42%) | 1/12 (8%) | 6/12 (50%) | 0/12 (0%),5/12 (42%),1/12 (8%),6/12 (50%),0/12 (0%),https://yenibeygir.com/at/103924/thon-khitchiba,103924
10,JUNIOR JOY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %78, onde %22.",0/9 (0%) | 0/9 (0%) | 7/9 (78%) | 2/9 (22%),0/9 (0%),0/9 (0%),7/9 (78%),2/9 (22%),https://yenibeygir.com/at/102627/junior-joy,102627
11,KING ANCESTOR,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %46, on-grup %31, onde %0.",3/13 (23%) | 6/13 (46%) | 4/13 (31%) | 0/13 (0%),3/13 (23%),6/13 (46%),4/13 (31%),0/13 (0%),https://yenibeygir.com/at/103229/king-ancestor,103229
12,FANDOROS,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %0.",3/13 (23%) | 5/13 (38%) | 5/13 (38%) | 0/13 (0%),3/13 (23%),5/13 (38%),5/13 (38%),0/13 (0%),https://yenibeygir.com/at/103020/fandoros,103020
13,BAKTAGÖR,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",2/7 (29%) | 3/7 (43%) | 2/7 (29%) | 0/7 (0%),2/7 (29%),3/7 (43%),2/7 (29%),0/7 (0%),https://yenibeygir.com/at/103548/baktagor,103548
14,CAPTAIN AT SEA,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/7 (0%) | 0/7 (0%) | 2/7 (29%) | 5/7 (71%),0/7 (0%),0/7 (0%),2/7 (29%),5/7 (71%),https://yenibeygir.com/at/103806/captain-at-sea,103806
1,ARTAX,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %6, on-grup %56, onde %33.",1/18 (6%) | 1/18 (6%) | 10/18 (56%) | 6/18 (33%),1/18 (6%),1/18 (6%),10/18 (56%),6/18 (33%),https://yenibeygir.com/at/100661/artax,100661
2,KUTUP KIZI,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %68, arka-grup %25, on-grup %8, onde %0.",54/80 (68%) | 20/80 (25%) | 6/80 (8%) | 0/80 (0%),54/80 (68%),20/80 (25%),6/80 (8%),0/80 (0%),https://yenibeygir.com/at/93593/kutup-kizi,93593
3,TOWSON,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %77, onde %7.",0/60 (0%) | 10/60 (17%) | 46/60 (77%) | 4/60 (7%),0/60 (0%),10/60 (17%),46/60 (77%),4/60 (7%),https://yenibeygir.com/at/94134/towson,94134
