at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
5,LAMBERHURST,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %27, on-grup %40, onde %20.",2/15 (13%) | 4/15 (27%) | 6/15 (40%) | 3/15 (20%),2/15 (13%),4/15 (27%),6/15 (40%),3/15 (20%),https://www.yenibeygir.com/at/101031/lamberhurst,101031
6,SARPTAY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %56, onde %20.",5/41 (12%) | 5/41 (12%) | 23/41 (56%) | 8/41 (20%),5/41 (12%),5/41 (12%),23/41 (56%),8/41 (20%),https://www.yenibeygir.com/at/89900/sarptay,89900
7,SIRIUS BLACK,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %29, on-grup %48, onde %7.",14/87 (16%) | 25/87 (29%) | 42/87 (48%) | 6/87 (7%),14/87 (16%),25/87 (29%),42/87 (48%),6/87 (7%),https://www.yenibeygir.com/at/87492/sirius-black,87492
8,GALİBEY,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %9, on-grup %45, onde %36.",2/22 (9%) | 2/22 (9%) | 10/22 (45%) | 8/22 (36%),2/22 (9%),2/22 (9%),10/22 (45%),8/22 (36%),https://www.yenibeygir.com/at/99013/galibey,99013
9,LUPELYAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %39, on-grup %43, onde %0.",4/23 (17%) | 9/23 (39%) | 10/23 (43%) | 0/23 (0%),4/23 (17%),9/23 (39%),10/23 (43%),0/23 (0%),https://www.yenibeygir.com/at/99534/lupelyan,99534
1,GEL OGLİM,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %2, arka-grup %6, on-grup %42, onde %50.",1/64 (2%) | 4/64 (6%) | 27/64 (42%) | 32/64 (50%),1/64 (2%),4/64 (6%),27/64 (42%),32/64 (50%),https://www.yenibeygir.com/at/89432/gel-oglim,89432
2,BROARTS,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %4, on-grup %30, onde %61.",1/23 (4%) | 1/23 (4%) | 7/23 (30%) | 14/23 (61%),1/23 (4%),1/23 (4%),7/23 (30%),14/23 (61%),https://www.yenibeygir.com/at/99564/broarts,99564
3,KING DAVUT,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/24 (0%) | 0/24 (0%) | 7/24 (29%) | 17/24 (71%),0/24 (0%),0/24 (0%),7/24 (29%),17/24 (71%),https://www.yenibeygir.com/at/95152/king-davut,95152
4,ZAMBUR AGA,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %48, arka-grup %35, on-grup %17, onde %0.",11/23 (48%) | 8/23 (35%) | 4/23 (17%) | 0/23 (0%),11/23 (48%),8/23 (35%),4/23 (17%),0/23 (0%),https://www.yenibeygir.com/at/99724/zambur-aga,99724
5,QUEIMADA GRANDE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %54, on-grup %20, onde %0.",24/92 (26%) | 50/92 (54%) | 18/92 (20%) | 0/92 (0%),24/92 (26%),50/92 (54%),18/92 (20%),0/92 (0%),https://www.yenibeygir.com/at/75445/queimada-grande,75445
6,THE AUREL,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %30, on-grup %45, onde %0.",5/20 (25%) | 6/20 (30%) | 9/20 (45%) | 0/20 (0%),5/20 (25%),6/20 (30%),9/20 (45%),0/20 (0%),https://www.yenibeygir.com/at/96246/the-aurel,96246
7,BOUCHERON,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %49, arka-grup %39, on-grup %10, onde %2.",24/49 (49%) | 19/49 (39%) | 5/49 (10%) | 1/49 (2%),24/49 (49%),19/49 (39%),5/49 (10%),1/49 (2%),https://www.yenibeygir.com/at/96030/boucheron,96030
8,KALKÜTA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %33, on-grup %37, onde %15.",4/27 (15%) | 9/27 (33%) | 10/27 (37%) | 4/27 (15%),4/27 (15%),9/27 (33%),10/27 (37%),4/27 (15%),https://www.yenibeygir.com/at/98907/kalkuta,98907
9,CESUR ALİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %33, on-grup %37, onde %4.",7/27 (26%) | 9/27 (33%) | 10/27 (37%) | 1/27 (4%),7/27 (26%),9/27 (33%),10/27 (37%),1/27 (4%),https://www.yenibeygir.com/at/93404/cesur-ali,93404
10,STEEL HAWK,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %38, on-grup %46, onde %8.",3/39 (8%) | 15/39 (38%) | 18/39 (46%) | 3/39 (8%),3/39 (8%),15/39 (38%),18/39 (46%),3/39 (8%),https://www.yenibeygir.com/at/91496/steel-hawk,91496
1,END GAME,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %32, on-grup %29, onde %5.",14/41 (34%) | 13/41 (32%) | 12/41 (29%) | 2/41 (5%),14/41 (34%),13/41 (32%),12/41 (29%),2/41 (5%),https://www.yenibeygir.com/at/95990/end-game,95990
2,ENDORFİN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %23, on-grup %57, onde %9.",4/35 (11%) | 8/35 (23%) | 20/35 (57%) | 3/35 (9%),4/35 (11%),8/35 (23%),20/35 (57%),3/35 (9%),https://www.yenibeygir.com/at/97560/endorfin,97560
3,GÖLGENİN GÜCÜ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %45, on-grup %35, onde %6.",4/31 (13%) | 14/31 (45%) | 11/31 (35%) | 2/31 (6%),4/31 (13%),14/31 (45%),11/31 (35%),2/31 (6%),https://www.yenibeygir.com/at/97318/golgenin-gucu,97318
