At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
WHITE DOVE,,6.67,1400,Kum,55.5,57,İzmir,6,95633,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %23, arka-grup %54, on-grup %23, onde %0.",3/13 (23%) | 7/13 (54%) | 3/13 (23%) | 0/13 (0%),Sulu,,4.68,https://yenibeygir.com/at/95633/white-dove,bulundu
,7. Koşu,,,,,,,,,,,,,,,,,
HUGE SUCCES,,6.19,1200,Kum,57,57,İzmir,5,100120,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %0, on-grup %18, onde %73.",1/11 (9%) | 0/11 (0%) | 2/11 (18%) | 8/11 (73%),Sulu,,2.13,https://yenibeygir.com/at/100120/huge-succes,bulundu
PERFECT SUNSET,,6.26,1200,Sentetik,58,58,Antalya,2,98057,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %39, on-grup %43, onde %4.",3/23 (13%) | 9/23 (39%) | 10/23 (43%) | 1/23 (4%),,,0.38,https://yenibeygir.com/at/98057/perfect-sunset,bulundu
OBRADA,,6.32,1400,Kum,61,58,İzmir,1,12285,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %13, on-grup %37, onde %44.",8/141 (6%) | 19/141 (13%) | 52/141 (37%) | 62/141 (44%),,,0.30,https://yenibeygir.com/at/12285/obrada,bulundu
BOCCE,,6.33,1600,Kum,57,54,İzmir,3,98226,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %19, on-grup %59, onde %6.",5/32 (16%) | 6/32 (19%) | 19/32 (59%) | 2/32 (6%),Nem,,0.88,https://yenibeygir.com/at/98226/bocce,bulundu
RED STORM,,6.40,1900,Kum,56,56.6,İzmir,7,98098,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %50, on-grup %10, onde %0.",8/20 (40%) | 10/20 (50%) | 2/20 (10%) | 0/20 (0%),Nem,,1.56,https://yenibeygir.com/at/98098/red-storm,bulundu
MUCHACHO,,6.42,1600,Kum,56,53.8,İzmir,6,99058,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %4, on-grup %18, onde %75.",1/28 (4%) | 1/28 (4%) | 5/28 (18%) | 21/28 (75%),,,1.24,https://yenibeygir.com/at/99058/muchacho,bulundu
SÜSLÜCAN,,6.43,1400,Kum,58,58,Bursa,4,98492,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %19, arka-grup %64, on-grup %17, onde %0.",7/36 (19%) | 23/36 (64%) | 6/36 (17%) | 0/36 (0%),,,3.08,https://yenibeygir.com/at/98492/suslucan,bulundu
,8. Koşu,,,,,,,,,,,,,,,,,
BOĞUŞLU,,6.84,1600,Kum,57,57,İzmir,9,98913,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %70, onde %18.",0/33 (0%) | 4/33 (12%) | 23/33 (70%) | 6/33 (18%),Sulu,,0.00,https://yenibeygir.com/at/98913/boguslu,bulundu
KAYA DÜNYASI,,6.86,1600,Kum,53,52.7,İzmir,11,96986,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %46, on-grup %31, onde %3.",7/35 (20%) | 16/35 (46%) | 11/35 (31%) | 1/35 (3%),Sulu,,0.27,https://yenibeygir.com/at/96986/kaya-dunyasi,bulundu
REYHAN GELİN,,6.87,1400,Kum,60,60,İzmir,2,99236,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %6, on-grup %41, onde %53.",0/32 (0%) | 2/32 (6%) | 13/32 (41%) | 17/32 (53%),Nem,,0.00,https://yenibeygir.com/at/99236/reyhan-gelin,bulundu
YILDIZTEPE,,6.93,1400,Kum,50,55.5,Adana,13,102029,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %44, on-grup %56, onde %0.",0/9 (0%) | 4/9 (44%) | 5/9 (56%) | 0/9 (0%),,,1.28,https://yenibeygir.com/at/102029/yildiztepe,bulundu
ESMERDAĞ,,6.99,1400,Kum,50.5,53.1,Antalya,14,97749,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %41, on-grup %46, onde %2.",4/41 (10%) | 17/41 (41%) | 19/41 (46%) | 1/41 (2%),Isl,,0.80,https://yenibeygir.com/at/97749/esmerdag,bulundu
AYDINEFESİ,,7.00,1300,Kum,61,55,Bursa,4,92969,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %11, on-grup %59, onde %19.",7/64 (11%) | 7/64 (11%) | 38/64 (59%) | 12/64 (19%),Nem,,1.22,https://yenibeygir.com/at/92969/aydinefesi,bulundu
MERTCAN TAY,,7.06,1200,Çim,50,57.5,İzmir,12,94670,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %30, on-grup %30, onde %21.",8/43 (19%) | 13/43 (30%) | 13/43 (30%) | 9/43 (21%),,,3.07,https://yenibeygir.com/at/94670/mertcan-tay,bulundu
TEKİR BEYİ,,7.06,1200,Kum,50,55.7,İzmir,17,98980,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %29, on-grup %55, onde %3.",5/38 (13%) | 11/38 (29%) | 21/38 (55%) | 1/38 (3%),Nem,,3.81,https://yenibeygir.com/at/98980/tekir-beyi,bulundu
İKİGAİ,,7.07,1600,Kum,56,61,İzmir,6,98006,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %54, on-grup %21, onde %0.",15/61 (25%) | 33/61 (54%) | 13/61 (21%) | 0/61 (0%),Sulu,,4.42,https://yenibeygir.com/at/98006/ikigai,bulundu
BAŞ SÜVARİ,,7.11,1400,Kum,50.5,52.6,İzmir,15,99679,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %44, on-grup %21, onde %0.",12/34 (35%) | 15/34 (44%) | 7/34 (21%) | 0/34 (0%),Nem,,3.62,https://yenibeygir.com/at/99679/bas-suvari,bulundu
AFŞINTAY,,7.12,2000,Kum,60,56.5,İzmir,1,98430,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %30, on-grup %49, onde %1.",15/74 (20%) | 22/74 (30%) | 36/74 (49%) | 1/74 (1%),,X,6.36,https://yenibeygir.com/at/98430/afsintay,bulundu
ŞİFNE EFESİ,,7.21,2000,Kum,58,60,İzmir,5,73685,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %20, on-grup %47, onde %24.",12/130 (9%) | 26/130 (20%) | 61/130 (47%) | 31/130 (24%),Nem,,3.18,https://yenibeygir.com/at/73685/sifne-efesi,bulundu
MİRAY ABLA,,7.28,2000,Kum,54.5,56,İzmir,10,103158,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %36, on-grup %45, onde %9.",1/11 (9%) | 4/11 (36%) | 5/11 (45%) | 1/11 (9%),,,1.33,https://yenibeygir.com/at/103158/miray-abla,bulundu
GÜRSELHAN,,7.31,1900,Kum,57.5,58.5,İzmir,8,94202,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %28, on-grup %38, onde %3.",18/58 (31%) | 16/58 (28%) | 22/58 (38%) | 2/58 (3%),,X,6.13,https://yenibeygir.com/at/94202/gurselhan,bulundu
SARSALA,,7.32,1900,Kum,58,60.5,İzmir,7,99205,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %42, on-grup %42, onde %2.",8/53 (15%) | 22/53 (42%) | 22/53 (42%) | 1/53 (2%),,X,6.58,https://yenibeygir.com/at/99205/sarsala,bulundu
SAFDERUN OĞLU,,7.43,1300,Kum,59.5,61,Antalya,3,99121,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %4, on-grup %50, onde %29.",4/24 (17%) | 1/24 (4%) | 12/24 (50%) | 7/24 (29%),,,4.88,https://yenibeygir.com/at/99121/safderun-oglu,bulundu
JINIRAL,,7.88,1600,Kum,50,56,İzmir,16,102120,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %69, onde %6.",2/16 (12%) | 2/16 (12%) | 11/16 (69%) | 1/16 (6%),,X,15.49,https://yenibeygir.com/at/102120/jiniral,bulundu
