At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
ÖMERİNOĞLU,,7.88,1400,Kum,55.5,58,Şanlıurfa,8,102800,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %11, on-grup %53, onde %32.",1/19 (5%) | 2/19 (11%) | 10/19 (53%) | 6/19 (32%),,X,9.20,https://yenibeygir.com/at/102800/omerinoglu,bulundu
,8. Koşu,,,,,,,,,,,,,,,,,
AKERBEY,,geçersiz,,,57,,,1,106340,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106340/akerbey,bulundu
ALABİNİT,,geçersiz,,,57,,,2,106521,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106521/alabinit,bulundu
AMİRSOYLU,,geçersiz,,,57,,,3,106085,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106085/amirsoylu,bulundu
ATAERİ,,geçersiz,,,57,,,4,105531,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105531/ataeri,bulundu
ÇAKIR METE,,geçersiz,,,57,,,5,105810,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105810/cakir-mete,bulundu
HÜKÜMSÜREN,,geçersiz,,,57,,,6,105921,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105921/hukumsuren,bulundu
HÜRTAYFA,,geçersiz,,,57,,,7,106520,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106520/hurtayfa,bulundu
KOEMAN,,geçersiz,,,57,,,8,106364,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106364/koeman,bulundu
MİSİLLEME,,geçersiz,,,57,,,9,106013,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106013/misilleme,bulundu
VURGUNHAN,,geçersiz,,,57,,,10,105899,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105899/vurgunhan,bulundu
ZEYDANTAY,,geçersiz,,,57,,,11,105732,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105732/zeydantay,bulundu
MAHPAREM,,geçersiz,,,55,,,12,107041,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/107041/mahparem,bulundu
