At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
ALATTİN,,7.43,1300,Kum,53.5,58.5,Bursa,2,97102,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %61, onde %18.",0/33 (0%) | 7/33 (21%) | 20/33 (61%) | 6/33 (18%),https://yenibeygir.com/at/97102/alattin,bulundu
KARACAHİSAR,,7.43,2000,Kum,57.5,61.5,İzmir,6,97033,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %55, onde %35.",2/40 (5%) | 2/40 (5%) | 22/40 (55%) | 14/40 (35%),https://yenibeygir.com/at/97033/karacahisar,bulundu
BÜYÜK MENDERES,,7.43,1300,Kum,57.5,60.5,Bursa,15,94059,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %39, on-grup %27, onde %0.",11/33 (33%) | 13/33 (39%) | 9/33 (27%) | 0/33 (0%),https://yenibeygir.com/at/94059/buyuk-menderes,bulundu
ZEHİRBİKE,,7.44,1900,Kum,55.5,56.4,Bursa,12,98598,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %28, on-grup %48, onde %4.",5/25 (20%) | 7/25 (28%) | 12/25 (48%) | 1/25 (4%),https://yenibeygir.com/at/98598/zehirbike,bulundu
GÜNDÜZDÜŞÜ,,7.45,1300,Kum,55.5,56.2,Bursa,11,87729,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %71.",1/51 (2%) | 1/51 (2%) | 13/51 (25%) | 36/51 (71%),https://yenibeygir.com/at/87729/gunduzdusu,bulundu
AKYEL ABİ,,7.67,1400,Kum,58.5,56,İstanbul,1,94933,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %38, on-grup %18, onde %1.",35/80 (44%) | 30/80 (38%) | 14/80 (18%) | 1/80 (1%),https://yenibeygir.com/at/94933/akyel-abi,bulundu
TELSERENCAN,,7.69,1300,Kum,57.5,56.6,Antalya,13,89734,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %22, onde %78.",0/46 (0%) | 0/46 (0%) | 10/46 (22%) | 36/46 (78%),https://yenibeygir.com/at/89734/telserencan,bulundu
,7. Koşu,,,,,,,,,,,,,,
MIRACLE RHYTHM,,6.46,1900,Kum,58,58,Bursa,5,103124,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %68, onde %11.",0/19 (0%) | 4/19 (21%) | 13/19 (68%) | 2/19 (11%),https://yenibeygir.com/at/103124/miracle-rhythm,bulundu
KARA BERELİ,,6.48,1900,Kum,58,55.7,Bursa,4,103719,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),https://yenibeygir.com/at/103719/kara-bereli,bulundu
DORUKLAR BEYİ,,6.54,1400,Kum,58,57,Bursa,1,104847,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %44, on-grup %11, onde %0.",4/9 (44%) | 4/9 (44%) | 1/9 (11%) | 0/9 (0%),https://yenibeygir.com/at/104847/doruklar-beyi,bulundu
FEARLESS DRAGON,,6.56,2100,Kum,58,58,Bursa,2,104742,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %20, on-grup %60, onde %20.",0/5 (0%) | 1/5 (20%) | 3/5 (60%) | 1/5 (20%),https://yenibeygir.com/at/104742/fearless-dragon,bulundu
WEST KENAN,,6.59,1300,Kum,58,56,Bursa,6,102041,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %15, onde %15.",5/13 (38%) | 4/13 (31%) | 2/13 (15%) | 2/13 (15%),https://yenibeygir.com/at/102041/west-kenan,bulundu
