At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
KİKİ FERRO,,6.91,1800,Kum,60,53.6,Şanlıurfa,14,101361,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %20, on-grup %20, onde %60.",0/10 (0%) | 2/10 (20%) | 2/10 (20%) | 6/10 (60%),https://yenibeygir.com/at/101361/kiki-ferro,bulundu
EMİN AMCA,,7.04,1800,Kum,60,61.5,Elazığ,2,86549,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %46, on-grup %28, onde %0.",23/87 (26%) | 40/87 (46%) | 24/87 (28%) | 0/87 (0%),https://yenibeygir.com/at/86549/emin-amca,bulundu
MEMORY REMAINS,,7.30,2000,Kum,60,60,Şanlıurfa,5,92728,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %43, on-grup %31, onde %2.",10/42 (24%) | 18/42 (43%) | 13/42 (31%) | 1/42 (2%),https://yenibeygir.com/at/92728/memory-remains,bulundu
SÖĞÜTLÜ AĞASI,,7.30,1400,Kum,60,55.8,Bursa,15,99556,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %24, on-grup %38, onde %5.",7/21 (33%) | 5/21 (24%) | 8/21 (38%) | 1/21 (5%),https://yenibeygir.com/at/99556/sogutlu-agasi,bulundu
,6. Koşu,,,,,,,,,,,,,,
KILIÇBAĞI,,7.37,1400,Kum,57.5,59,Şanlıurfa,2,92021,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %46, arka-grup %40, on-grup %14, onde %0.",40/87 (46%) | 35/87 (40%) | 12/87 (14%) | 0/87 (0%),https://yenibeygir.com/at/92021/kilicbagi,bulundu
ÇELİK SEMEND,,7.38,1400,Kum,56.5,59.5,Şanlıurfa,5,97996,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %40, on-grup %50, onde %0.",5/48 (10%) | 19/48 (40%) | 24/48 (50%) | 0/48 (0%),https://yenibeygir.com/at/97996/celik-semend,bulundu
CABİROĞLU,,7.60,1200,Kum,56.5,62.5,Şanlıurfa,4,97677,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %58, on-grup %15, onde %0.",7/26 (27%) | 15/26 (58%) | 4/26 (15%) | 0/26 (0%),https://yenibeygir.com/at/97677/cabiroglu,bulundu
FISILTIKAYA,,7.69,1900,Kum,55.5,58,Adana,8,97660,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %41, arka-grup %52, on-grup %7, onde %0.",19/46 (41%) | 24/46 (52%) | 3/46 (7%) | 0/46 (0%),https://yenibeygir.com/at/97660/fisiltikaya,bulundu
BAŞ ALP,,7.74,2100,Kum,57.5,56.5,Şanlıurfa,1,89591,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %45, on-grup %38, onde %0.",13/77 (17%) | 35/77 (45%) | 29/77 (38%) | 0/77 (0%),https://yenibeygir.com/at/89591/bas-alp,bulundu
