at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
2,TURAN YILDIZI,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %36, on-grup %20, onde %0.",11/25 (44%) | 9/25 (36%) | 5/25 (20%) | 0/25 (0%),11/25 (44%),9/25 (36%),5/25 (20%),0/25 (0%),,,1.37,https://yenibeygir.com/at/97222/turan-yildizi,97222
3,CAZGIR YAŞAR,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %68, arka-grup %32, on-grup %0, onde %0.",19/28 (68%) | 9/28 (32%) | 0/28 (0%) | 0/28 (0%),19/28 (68%),9/28 (32%),0/28 (0%),0/28 (0%),,,1.18,https://yenibeygir.com/at/97291/cazgir-yasar,97291
4,TAÇYİĞİT,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %0, on-grup %45, onde %50.",2/40 (5%) | 0/40 (0%) | 18/40 (45%) | 20/40 (50%),2/40 (5%),0/40 (0%),18/40 (45%),20/40 (50%),,X,37.61,https://yenibeygir.com/at/97205/tacyigit,97205
5,İSKİT ALP,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %43, on-grup %57, onde %0.",0/30 (0%) | 13/30 (43%) | 17/30 (57%) | 0/30 (0%),0/30 (0%),13/30 (43%),17/30 (57%),0/30 (0%),,,2.60,https://yenibeygir.com/at/97844/iskit-alp,97844
6,KULAGER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %23, on-grup %66, onde %7.",2/44 (5%) | 10/44 (23%) | 29/44 (66%) | 3/44 (7%),2/44 (5%),10/44 (23%),29/44 (66%),3/44 (7%),,X,5.53,https://yenibeygir.com/at/98077/kulager,98077
7,SİDAR BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %10, on-grup %74, onde %10.",2/31 (6%) | 3/31 (10%) | 23/31 (74%) | 3/31 (10%),2/31 (6%),3/31 (10%),23/31 (74%),3/31 (10%),Sulu,,3.06,https://yenibeygir.com/at/97967/sidar-bey,97967
8,GÜÇLÜ PRENS,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %79, arka-grup %21, on-grup %0, onde %0.",33/42 (79%) | 9/42 (21%) | 0/42 (0%) | 0/42 (0%),33/42 (79%),9/42 (21%),0/42 (0%),0/42 (0%),,,0.70,https://yenibeygir.com/at/94635/guclu-prens,94635
9,ERDİ BEY,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %30, on-grup %61, onde %4.",2/46 (4%) | 14/46 (30%) | 28/46 (61%) | 2/46 (4%),2/46 (4%),14/46 (30%),28/46 (61%),2/46 (4%),,,2.27,https://yenibeygir.com/at/94941/erdi-bey,94941
10,FENNAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %9, on-grup %32, onde %55.",1/22 (5%) | 2/22 (9%) | 7/22 (32%) | 12/22 (55%),1/22 (5%),2/22 (9%),7/22 (32%),12/22 (55%),,X,10.33,https://yenibeygir.com/at/97887/fennan,97887
1,FROU FROU,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %24, onde %62.",0/21 (0%) | 3/21 (14%) | 5/21 (24%) | 13/21 (62%),0/21 (0%),3/21 (14%),5/21 (24%),13/21 (62%),,X,6.41,https://yenibeygir.com/at/100127/frou-frou,100127
2,HOOD RIVER,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %32, on-grup %20, onde %8.",10/25 (40%) | 8/25 (32%) | 5/25 (20%) | 2/25 (8%),10/25 (40%),8/25 (32%),5/25 (20%),2/25 (8%),,,3.01,https://yenibeygir.com/at/100830/hood-river,100830
3,PERCY JACKSON,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %43, on-grup %39, onde %4.",3/23 (13%) | 10/23 (43%) | 9/23 (39%) | 1/23 (4%),3/23 (13%),10/23 (43%),9/23 (39%),1/23 (4%),,X,6.52,https://yenibeygir.com/at/100104/percy-jackson,100104
4,MONEY WELL SPENT,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %62, onde %38.",0/13 (0%) | 0/13 (0%) | 8/13 (62%) | 5/13 (38%),0/13 (0%),0/13 (0%),8/13 (62%),5/13 (38%),Nem,,0.00,https://yenibeygir.com/at/101010/money-well-spent,101010
5,MY SARAYYERLIM,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %4, on-grup %23, onde %74.",0/53 (0%) | 2/53 (4%) | 12/53 (23%) | 39/53 (74%),0/53 (0%),2/53 (4%),12/53 (23%),39/53 (74%),,,0.04,https://yenibeygir.com/at/91632/my-sarayyerlim,91632
6,DRAGON KINGDOM,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %31, on-grup %46, onde %12.",3/26 (12%) | 8/26 (31%) | 12/26 (46%) | 3/26 (12%),3/26 (12%),8/26 (31%),12/26 (46%),3/26 (12%),,,0.76,https://yenibeygir.com/at/99980/dragon-kingdom,99980
7,BANDOLERO,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %56, arka-grup %29, on-grup %16, onde %0.",25/45 (56%) | 13/45 (29%) | 7/45 (16%) | 0/45 (0%),25/45 (56%),13/45 (29%),7/45 (16%),0/45 (0%),,,0.00,https://yenibeygir.com/at/99580/bandolero,99580
