date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-10-06,2025-10,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,5/5/6/9/4/7,58399.12,"58.399,12 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=06%2F10%2F2025&SehirAdi=Urfa
2025-10-07,2025-10,1,Sali,Adana,1,1. 6'LI GANYAN,"6/2/1/2,7/2/6",20123.95,"20.123,95 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=07%2F10%2F2025&SehirAdi=Adana
2025-10-08,2025-10,2,Carsamba,Elazig,7,1. 6'LI GANYAN,"5/4,8/6/1,4/2/8",235975.24,"235.975,24 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=08%2F10%2F2025&SehirAdi=Elazig
2025-10-08,2025-10,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,5/2/5/5/2/4,4279.0,"4.279,00 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=08%2F10%2F2025&SehirAdi=Istanbul
2025-10-09,2025-10,3,Persembe,Ankara,5,1. 6'LI GANYAN,"3/1,3/5/7/1/1,3,7",343.75,"343,75 ₺",1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=09%2F10%2F2025&SehirAdi=Ankara
2025-10-09,2025-10,3,Persembe,Izmir,2,1. 6'LI GANYAN,3/3/1/4/8/5,539029.2,"539.029,20 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=09%2F10%2F2025&SehirAdi=Izmir
2025-10-10,2025-10,4,Cuma,Bursa,4,1. 6'LI GANYAN,"5/6/2/2/1,8/1",100862.75,"100.862,75 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=10%2F10%2F2025&SehirAdi=Bursa
2025-10-10,2025-10,4,Cuma,Istanbul,3,1. 6'LI GANYAN,"4/2,8/5/9/1/2",1228.95,"1.228,95 ₺",1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=10%2F10%2F2025&SehirAdi=Istanbul
2025-10-11,2025-10,5,Cumartesi,Ankara,5,1. 6'LI GANYAN,5/5/3/7/7/9,1549.1,"1.549,10 ₺",1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=11%2F10%2F2025&SehirAdi=Ankara
2025-10-11,2025-10,5,Cumartesi,Izmir,2,1. 6'LI GANYAN,5/1/8/5/5/8,371095.9,"371.095,90 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=11%2F10%2F2025&SehirAdi=Izmir
