at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,LAZFATİH,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %18, on-grup %75, onde %3.",2/65 (3%) | 12/65 (18%) | 49/65 (75%) | 2/65 (3%),2/65 (3%),12/65 (18%),49/65 (75%),2/65 (3%),https://yenibeygir.com/at/90741/lazfatih,90741
2,ÖZGÜR FURKAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %7, on-grup %32, onde %57.",1/28 (4%) | 2/28 (7%) | 9/28 (32%) | 16/28 (57%),1/28 (4%),2/28 (7%),9/28 (32%),16/28 (57%),https://yenibeygir.com/at/99925/ozgur-furkan,99925
3,ÖZTUĞ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %52, on-grup %30, onde %0.",5/27 (19%) | 14/27 (52%) | 8/27 (30%) | 0/27 (0%),5/27 (19%),14/27 (52%),8/27 (30%),0/27 (0%),https://yenibeygir.com/at/102759/oztug,102759
4,ATAMANBEY,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %47, on-grup %12, onde %6.",6/17 (35%) | 8/17 (47%) | 2/17 (12%) | 1/17 (6%),6/17 (35%),8/17 (47%),2/17 (12%),1/17 (6%),https://yenibeygir.com/at/101645/atamanbey,101645
5,ATİLLABEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %73, onde %13.",1/15 (7%) | 1/15 (7%) | 11/15 (73%) | 2/15 (13%),1/15 (7%),1/15 (7%),11/15 (73%),2/15 (13%),https://yenibeygir.com/at/102773/atillabey,102773
6,LEONİDAS,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %36, on-grup %42, onde %6.",20/121 (17%) | 43/121 (36%) | 51/121 (42%) | 7/121 (6%),20/121 (17%),43/121 (36%),51/121 (42%),7/121 (6%),https://yenibeygir.com/at/85551/leonidas,85551
7,EFE METE BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %67, onde %21.",0/48 (0%) | 6/48 (12%) | 32/48 (67%) | 10/48 (21%),0/48 (0%),6/48 (12%),32/48 (67%),10/48 (21%),https://yenibeygir.com/at/97411/efe-mete-bey,97411
8,GÖKTUĞTAY,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %48, on-grup %15, onde %3.",11/33 (33%) | 16/33 (48%) | 5/33 (15%) | 1/33 (3%),11/33 (33%),16/33 (48%),5/33 (15%),1/33 (3%),https://yenibeygir.com/at/93903/goktugtay,93903
9,LAZMAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %18, on-grup %59, onde %18.",2/44 (5%) | 8/44 (18%) | 26/44 (59%) | 8/44 (18%),2/44 (5%),8/44 (18%),26/44 (59%),8/44 (18%),https://yenibeygir.com/at/97289/lazman,97289
10,SANPMAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %9, on-grup %31, onde %57.",1/35 (3%) | 3/35 (9%) | 11/35 (31%) | 20/35 (57%),1/35 (3%),3/35 (9%),11/35 (31%),20/35 (57%),https://yenibeygir.com/at/97622/sanpman,97622
11,BARAN REİS,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %24, on-grup %61, onde %6.",5/62 (8%) | 15/62 (24%) | 38/62 (61%) | 4/62 (6%),5/62 (8%),15/62 (24%),38/62 (61%),4/62 (6%),https://yenibeygir.com/at/94511/baran-reis,94511
12,ABDİ BABA,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",4/14 (29%) | 6/14 (43%) | 4/14 (29%) | 0/14 (0%),4/14 (29%),6/14 (43%),4/14 (29%),0/14 (0%),https://yenibeygir.com/at/97309/abdi-baba,97309
13,ÖZGÜNSTONE,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %22, on-grup %5, onde %0.",44/60 (73%) | 13/60 (22%) | 3/60 (5%) | 0/60 (0%),44/60 (73%),13/60 (22%),3/60 (5%),0/60 (0%),https://yenibeygir.com/at/76695/ozgunstone,76695
14,KÖKŞUBAR,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %48, on-grup %26, onde %0.",8/31 (26%) | 15/31 (48%) | 8/31 (26%) | 0/31 (0%),8/31 (26%),15/31 (48%),8/31 (26%),0/31 (0%),https://yenibeygir.com/at/99498/koksubar,99498
