At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
SOĞUKDAĞ,,6.59,1200,Çim,58,54.8,Adana,7,101622,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %40, on-grup %47, onde %0.",2/15 (13%) | 6/15 (40%) | 7/15 (47%) | 0/15 (0%),https://www.yenibeygir.com/at/101622/sogukdag,bulundu
ÖZMEN BEY,,6.72,1600,Çim,58,57.2,İstanbul,6,103064,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),https://www.yenibeygir.com/at/103064/ozmen-bey,bulundu
SURUÇLU MEMO,,6.95,1400,Kum,58,58,Adana,8,102844,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %54, on-grup %15, onde %0.",4/13 (31%) | 7/13 (54%) | 2/13 (15%) | 0/13 (0%),https://www.yenibeygir.com/at/102844/suruclu-memo,bulundu
BABA SELAH,,6.96,1400,Sentetik,58,52,Antalya,11,101596,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/7 (0%) | 0/7 (0%) | 2/7 (29%) | 5/7 (71%),https://www.yenibeygir.com/at/101596/baba-selah,bulundu
,7. Koşu,,,,,,,,,,,,,,
ANGEL OF DEFNE,,6.33,1400,Kum,58,56,Antalya,2,102440,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",6/18 (33%) | 6/18 (33%) | 6/18 (33%) | 0/18 (0%),https://www.yenibeygir.com/at/102440/angel-of-defne,bulundu
WHISPER OF VICTORY,,6.34,1400,Kum,60,60.5,Adana,1,102225,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %36, on-grup %21, onde %21.",3/14 (21%) | 5/14 (36%) | 3/14 (21%) | 3/14 (21%),https://www.yenibeygir.com/at/102225/whisper-of-victory,bulundu
FORTHCOMING QUEEN,,6.40,1500,Kum,56,57.5,Adana,4,104365,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",2/7 (29%) | 3/7 (43%) | 2/7 (29%) | 0/7 (0%),https://www.yenibeygir.com/at/104365/forthcoming-queen,bulundu
GOOD WIEW GLORY,,6.41,1300,Kum,58,56,Adana,3,102135,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/12 (0%) | 0/12 (0%) | 6/12 (50%) | 6/12 (50%),https://www.yenibeygir.com/at/102135/good-wiew-glory,bulundu
MY LADY BUG,,6.47,1900,Kum,55,56,Adana,6,103266,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %0.",3/13 (23%) | 5/13 (38%) | 5/13 (38%) | 0/13 (0%),https://www.yenibeygir.com/at/103266/my-lady-bug,bulundu
