At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
SERÜVENTAY,,geçersiz,,,55,,,4,105863,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105863/seruventay,bulundu
ÖZBEK PRENSESİ,,geçersiz,,,55,,,5,105843,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105843/ozbek-prensesi,bulundu
VARTUHİM,,geçersiz,,,54,,,6,107126,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/107126/vartuhim,bulundu
,5. Koşu,,,,,,,,,,,,,,,,,
ANADOLU PRENSİ,,6.91,1800,Kum,57.5,54,Şanlıurfa,2,96013,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %25, on-grup %56, onde %2.",8/48 (17%) | 12/48 (25%) | 27/48 (56%) | 1/48 (2%),Isl,,1.16,https://yenibeygir.com/at/96013/anadolu-prensi,bulundu
FREED,,6.91,1900,Kum,57,57,Şanlıurfa,5,99525,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %37, on-grup %58, onde %0.",1/19 (5%) | 7/19 (37%) | 11/19 (58%) | 0/19 (0%),,,2.93,https://yenibeygir.com/at/99525/freed,bulundu
ÜNLÜNÜNOĞLU,,7.00,1400,Kum,57,56,Şanlıurfa,8,100024,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %9, on-grup %64, onde %14.",3/22 (14%) | 2/22 (9%) | 14/22 (64%) | 3/22 (14%),,,3.65,https://yenibeygir.com/at/100024/unlununoglu,bulundu
GRACİAS SİNYOR,,7.09,1400,Kum,54.5,55,Şanlıurfa,3,92374,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %10, on-grup %40, onde %45.",2/40 (5%) | 4/40 (10%) | 16/40 (40%) | 18/40 (45%),,X,5.05,https://yenibeygir.com/at/92374/gracias-sinyor,bulundu
BRO BORA,,7.14,1900,Kum,57,61,Adana,4,98119,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %41, on-grup %25, onde %0.",11/32 (34%) | 13/32 (41%) | 8/32 (25%) | 0/32 (0%),,,2.42,https://yenibeygir.com/at/98119/bro-bora,bulundu
QUIET RIVER,,7.28,1300,Kum,56.5,59,Şanlıurfa,9,98406,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %36, on-grup %56, onde %0.",2/25 (8%) | 9/25 (36%) | 14/25 (56%) | 0/25 (0%),Isl,,0.35,https://yenibeygir.com/at/98406/quiet-river,bulundu
CHAIN BREAKER,,7.50,1800,Kum,58.5,61.5,Elazığ,1,88620,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %13, on-grup %55, onde %23.",6/69 (9%) | 9/69 (13%) | 38/69 (55%) | 16/69 (23%),Nem,X,6.28,https://yenibeygir.com/at/88620/chain-breaker,bulundu
LAST SYMPHONY,,7.62,2000,Kum,57,57.3,Adana,6,99650,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %18, on-grup %32, onde %39.",3/28 (11%) | 5/28 (18%) | 9/28 (32%) | 11/28 (39%),,X,11.10,https://yenibeygir.com/at/99650/last-symphony,bulundu
SPEEDING BULLET,,7.90,1900,Kum,57,61,Şanlıurfa,7,97413,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %23, on-grup %59, onde %15.",1/39 (3%) | 9/39 (23%) | 23/39 (59%) | 6/39 (15%),,X,9.74,https://yenibeygir.com/at/97413/speeding-bullet,bulundu
,6. Koşu,,,,,,,,,,,,,,,,,
İLATUN,,7.79,1700,Kum,52,55,Şanlıurfa,12,101731,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %53, on-grup %20, onde %7.",3/15 (20%) | 8/15 (53%) | 3/15 (20%) | 1/15 (7%),,,0.00,https://yenibeygir.com/at/101731/ilatun,bulundu
CANROBİN,,7.85,1400,Kum,57,59.5,Adana,3,101804,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %50, on-grup %21, onde %7.",3/14 (21%) | 7/14 (50%) | 3/14 (21%) | 1/14 (7%),,,3.27,https://yenibeygir.com/at/101804/canrobin,bulundu
SUSUZKURT,,7.86,1300,Çim,56.5,55.3,Adana,4,104173,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %41, on-grup %35, onde %0.",4/17 (24%) | 7/17 (41%) | 6/17 (35%) | 0/17 (0%),"Hafif Çim (3,5)",,0.00,https://yenibeygir.com/at/104173/susuzkurt,bulundu
UMUDUM DENİZ,,7.91,2000,Kum,53,55,Şanlıurfa,10,101771,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %18, arka-grup %14, on-grup %55, onde %14.",4/22 (18%) | 3/22 (14%) | 12/22 (55%) | 3/22 (14%),Isl,X,11.00,https://yenibeygir.com/at/101771/umudum-deniz,bulundu
AKSU BABA,,7.97,1900,Kum,55,52.5,Şanlıurfa,5,101538,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/101538/aksu-baba,bulundu
AKSU KAAN,,7.98,2000,Kum,54.5,56.5,Şanlıurfa,6,101629,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %42, on-grup %47, onde %0.",2/19 (11%) | 8/19 (42%) | 9/19 (47%) | 0/19 (0%),Isl,X,12.32,https://yenibeygir.com/at/101629/aksu-kaan,bulundu
KÜÇÜK YUNUS,,8.04,1200,Kum,54,54.3,Elazığ,7,101275,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %67, arka-grup %22, on-grup %11, onde %0.",12/18 (67%) | 4/18 (22%) | 2/18 (11%) | 0/18 (0%),Nem,,2.67,https://yenibeygir.com/at/101275/kucuk-yunus,bulundu
MİRZABABA,,8.57,1800,Kum,54,58,Şanlıurfa,8,103682,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %60, on-grup %40, onde %0.",0/5 (0%) | 3/5 (60%) | 2/5 (40%) | 0/5 (0%),,X,18.43,https://yenibeygir.com/at/103682/mirzababa,bulundu
SENUBEN,,8.77,1200,Kum,53,58,Elazığ,11,102713,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %25, on-grup %31, onde %44.",0/16 (0%) | 4/16 (25%) | 5/16 (31%) | 7/16 (44%),Nem,X,10.77,https://yenibeygir.com/at/102713/senuben,bulundu
AĞACAN KIZI,,8.92,1800,Kum,53.5,57,Şanlıurfa,9,102728,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %33, on-grup %33, onde %7.",4/15 (27%) | 5/15 (33%) | 5/15 (33%) | 1/15 (7%),,X,24.68,https://yenibeygir.com/at/102728/agacan-kizi,bulundu
ÇERMİKŞAH,,8.98,1200,Kum,60.5,57,Elazığ,1,101964,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %25, on-grup %45, onde %10.",4/20 (20%) | 5/20 (25%) | 9/20 (45%) | 2/20 (10%),,X,14.54,https://yenibeygir.com/at/101964/cermiksah,bulundu
KAYNARHANIM,,9.11,1300,Kum,59,56,Şanlıurfa,2,101350,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %40, on-grup %33, onde %20.",1/15 (7%) | 6/15 (40%) | 5/15 (33%) | 3/15 (20%),,X,22.16,https://yenibeygir.com/at/101350/kaynarhanim,bulundu
